,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Date,Close
0,2019-05-03,7.0,8.0,0.5333333333333333,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,5.0,3.0,0.375,5.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.39130434782608703,5/3/19,26504.949219
1,2019-05-02,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,5.0,3.0,0.375,5.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.39130434782608703,18.0,7.0,0.28,5/2/19,26307.789063
2,2019-05-01,11.0,12.0,0.5217391304347826,5.0,3.0,0.375,5.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.39130434782608703,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,5/1/19,26430.140625
3,2019-04-30,5.0,3.0,0.375,5.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.39130434782608703,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,14.0,7.0,0.3333333333333333,4/30/19,26592.910156
4,2019-04-29,5.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.39130434782608703,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,14.0,7.0,0.3333333333333333,6.0,5.0,0.4545454545454545,4/29/19,26554.390625
5,2019-04-26,14.0,9.0,0.39130434782608703,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,14.0,7.0,0.3333333333333333,6.0,5.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/26/19,26543.330078
6,2019-04-25,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,14.0,7.0,0.3333333333333333,6.0,5.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.6363636363636364,4/25/19,26462.080078
7,2019-04-24,7.0,5.0,0.4166666666666667,14.0,7.0,0.3333333333333333,6.0,5.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.6363636363636364,8.0,5.0,0.38461538461538464,4/24/19,26597.050781
8,2019-04-23,14.0,7.0,0.3333333333333333,6.0,5.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.6363636363636364,8.0,5.0,0.38461538461538464,13.0,8.0,0.3809523809523809,4/23/19,26656.390625
9,2019-04-22,6.0,5.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.6363636363636364,8.0,5.0,0.38461538461538464,13.0,8.0,0.3809523809523809,9.0,7.0,0.4375,4/22/19,26511.050781
10,2019-04-18,8.0,14.0,0.6363636363636364,8.0,5.0,0.38461538461538464,13.0,8.0,0.3809523809523809,9.0,7.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,6.0,3.0,0.3333333333333333,4/18/19,26559.539063
11,2019-04-17,8.0,5.0,0.38461538461538464,13.0,8.0,0.3809523809523809,9.0,7.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,6.0,3.0,0.3333333333333333,11.0,7.0,0.3888888888888889,4/17/19,26449.539063
12,2019-04-16,13.0,8.0,0.3809523809523809,9.0,7.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,6.0,3.0,0.3333333333333333,11.0,7.0,0.3888888888888889,12.0,10.0,0.4545454545454545,4/16/19,26452.660156
13,2019-04-15,9.0,7.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,6.0,3.0,0.3333333333333333,11.0,7.0,0.3888888888888889,12.0,10.0,0.4545454545454545,13.0,12.0,0.48,4/15/19,26384.769531
